name,id,energyCost(¢),Registration Count of EV’s,gas($),gasMidGrade($),gasPrem($),diesel($),Pop,costPerMileWithEV($),costPerMileWithGasCar($)
Alabama,1,9.83,2890,2.87,3.21,3.53,3.10,4934193,0.034,0.115
Alaska,2,20.22,940,3.69,3.87,4.04,3.37,724357,0.070,0.148
Arizona,4,10.52,28770,3.21,3.48,3.73,3.28,7520103,0.036,0.128
Arkansas,5,8.22,1330,2.85,3.15,3.43,3.11,3033946,0.028,0.114
California,6,16.89,425300,4.40,4.59,4.71,4.41,39613493,0.058,0.176
Colorado,8,10.17,24670,3.55,3.88,4.17,3.45,5893634,0.035,0.142
Connecticut,9,18.66,9040,3.21,3.52,3.73,3.34,3552821,0.065,0.128
Delaware,10,10.52,1950,3.08,3.48,3.73,3.28,990334,0.036,0.123
District of Columbia,11,12.27,2360,3.28,3.81,3.93,3.37,714153,0.042,0.131
Florida,12,10.44,58160,3.06,3.41,3.72,3.19,21944577,0.036,0.122
Georgia,13,9.86,23530,2.99,3.34,3.68,3.21,10830007,0.034,0.120
Hawaii,15,28.72,10670,4.08,4.29,4.55,4.40,1406430,0.099,0.163
Idaho,16,7.89,2300,3.75,3.95,4.13,3.69,1860123,0.027,0.150
Illinois,17,9.56,26000,3.41,3.77,4.15,3.41,12569321,0.033,0.136
Indiana,18,9.91,6990,3.12,3.45,3.77,3.43,6805663,0.034,0.125
Iowa,19,9.08,2260,3.02,3.17,3.57,3.17,3167974,0.031,0.121
Kansas,20,10.26,3130,2.94,3.18,3.43,3.14,2917224,0.035,0.117
Kentucky,21,8.61,2650,2.92,3.25,3.56,3.14,4480713,0.030,0.117
Louisiana,22,7.71,1950,2.90,3.21,3.52,3.03,4627002,0.027,0.116
Maine,23,14.04,1920,3.12,3.42,3.67,3.23,1354522,0.049,0.125
Maryland,24,11.24,17970,3.10,3.54,3.80,3.26,6065436,0.039,0.124
Massachusetts,25,18.40,21010,3.10,3.39,3.61,3.21,6912239,0.064,0.124
Michigan,26,11.56,10620,3.22,3.56,3.89,3.37,9992427,0.040,0.129
Minnesota,27,10.33,10380,3.05,3.28,3.61,3.26,5706398,0.036,0.122
Mississippi,28,9.28,780,2.82,3.12,3.43,2.97,2966407,0.032,0.113
Missouri,29,9.68,6740,2.87,3.12,3.39,3.03,6169038,0.033,0.115
Montana,30,9.02,940,3.34,3.60,3.84,3.44,1085004,0.031,0.134
Nebraska,31,9.08,1810,3.03,3.16,3.50,3.20,1951996,0.031,0.121
Nevada,32,8.78,11040,3.90,4.13,4.30,3.88,3185786,0.030,0.156
New Hampshire,33,17.15,2690,3.04,3.37,3.63,3.15,1372203,0.059,0.122
New Jersey,34,13.42,30420,3.23,3.60,3.77,3.40,8874520,0.046,0.129
New Mexico,35,8.99,2620,3.12,3.42,3.69,3.27,2105005,0.031,0.125
New York,36,14.34,32590,3.28,3.58,3.81,3.40,19299981,0.050,0.131
North Carolina,37,9.45,16190,2.98,3.33,3.68,3.20,10701022,0.033,0.119
North Dakota,38,8.85,220,3.08,3.29,3.50,3.23,770026,0.031,0.123
Ohio,39,9.58,14530,2.98,3.32,3.65,3.40,11714618,0.033,0.119
Oklahoma,40,7.86,3410,2.87,3.13,3.35,3.04,3990443,0.027,0.115
Oregon,41,8.81,22850,3.73,3.92,4.10,3.68,4289439,0.030,0.149
Pennsylvania,42,9.81,17530,3.34,3.66,3.95,3.64,12804123,0.034,0.133
Rhode Island,44,18.49,1580,3.08,3.42,3.66,3.19,1061509,0.064,0.123
South Carolina,45,10.02,4390,2.91,3.26,3.59,3.11,5277830,0.035,0.116
South Dakota,46,9.96,410,3.15,3.28,3.63,3.29,896581,0.034,0.126
Tennessee,47,9.69,7810,2.90,3.24,3.58,3.14,6944260,0.034,0.116
Texas,48,8.60,52190,2.82,3.15,3.45,2.97,29730311,0.030,0.113
Utah,49,8.24,11230,3.73,3.94,4.11,3.65,3310774,0.029,0.149
Vermont,50,15.36,2230,3.13,3.40,3.67,3.24,623251,0.053,0.125
Virginia,51,9.52,20510,3.00,3.38,3.70,3.15,8603985,0.033,0.120
Washington,53,8.04,50520,3.85,4.07,4.24,3.74,7796941,0.028,0.154
West Virginia,54,8.49,600,3.07,3.36,3.66,3.29,1767859,0.029,0.123
Wisconsin,55,10.66,6310,3.04,3.37,3.75,3.22,5852490,0.037,0.121
Wyoming,56,8.10,330,3.52,3.74,3.99,3.66,581075,0.028,0.141
